timestamp,raw_fno_count,passed_count,rejected_count
2026-08-21T10:50:53.572644,208,40,36
2026-08-21T11:08:27.921201,208,40,36
2026-08-21T11:26:08.636054,208,40,36
2026-08-21T11:43:39.105194,208,40,35
2026-08-21T12:01:09.935960,208,40,35
2026-08-21T12:18:40.912874,208,40,35
2026-08-21T12:36:14.528655,208,40,35
2026-08-21T12:53:58.993572,208,40,35
2026-08-21T13:10:52.897656,208,40,35
2026-08-21T13:28:19.256367,208,40,35
2026-08-24T13:48:11.969691,208,40,37
2026-08-24T14:05:44.391834,208,40,37
2026-08-24T14:23:09.568433,208,40,36
2026-08-24T14:40:31.175945,208,40,36
2026-08-25T09:37:27.251649,208,0,208
2026-08-25T09:59:29.383896,208,40,41
2026-08-25T10:16:52.409150,208,40,41
2026-08-25T10:34:16.598352,208,40,41
2026-08-25T10:51:44.874570,208,40,41
2026-08-25T11:09:14.179107,208,40,40
2026-08-25T11:26:44.481284,208,40,40
2026-08-25T11:44:17.057027,208,40,40
2026-08-25T12:01:42.369083,208,40,39
2026-08-25T12:19:16.256015,208,40,39
2026-08-25T12:45:22.604328,208,40,38
2026-08-25T13:02:51.744299,208,40,37
2026-08-25T13:20:20.558968,208,40,37
2026-08-25T13:37:47.550239,208,40,37
2026-08-25T13:55:19.379786,208,40,37
2026-08-25T14:12:56.739290,208,40,36
2026-08-26T10:32:41.228244,210,40,42
2026-08-26T10:50:04.050283,210,40,40
2026-08-26T11:07:25.349513,210,40,40
2026-08-26T11:24:46.950321,210,40,40
2026-08-26T11:42:09.372530,210,40,40
2026-08-26T11:59:34.000787,210,40,40
2026-08-26T12:16:57.480054,210,40,40
2026-08-26T12:34:19.979889,210,40,40
2026-08-26T12:51:45.423428,210,40,40
2026-08-26T13:09:10.738054,210,40,40
2026-08-26T13:26:34.027318,210,40,39
2026-08-26T13:43:57.099324,210,40,39
2026-08-26T14:01:25.118196,210,40,39
2026-08-26T14:18:51.709573,210,40,39
2026-08-26T14:36:19.211923,210,40,39
2026-08-27T09:37:31.452042,210,0,210
2026-08-27T09:54:11.458056,210,0,210
2026-08-27T10:10:51.964192,210,0,210
2026-08-27T10:27:30.926264,210,0,210
2026-08-27T10:41:24.320539,210,40,42
2026-08-27T11:04:54.686111,210,40,42
2026-08-27T11:22:22.911250,210,40,42
2026-08-27T11:39:56.432502,210,40,41
2026-08-27T11:57:32.076351,210,40,41
2026-08-27T12:15:04.179483,210,40,41
2026-08-27T12:32:33.746579,210,40,41
